wins,losses,inactive,hotStreak,tier,rank,puuid,matchId,season,champExperience,champLevel,championName,damageDealtToObjectives,damageDealtToTurrets,kills,deaths,assists,detectorWardsPlaced,doubleKills,dragonKills,firstTowerKill,firstTowerAssist,firstBloodAssist,firstBloodKill,goldEarned,individualPosition,magicDamageDealt,pentaKills,quadraKills,killingSprees,physicalDamageDealtToChampions,physicalDamageTaken,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,tripleKills,visionScore,wardsPlaced,totalMinionsKilled,win
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5667491728,12,15976,16,Vayne,7869,1758,7,3,8,0,0,0,False,False,False,False,12847,BOTTOM,5116,0,0,2,8119,12239,13827,0,22258,3001,0,4,2,122,True
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5666472312,12,8142,11,XinZhao,5161,0,0,8,1,0,0,1,False,False,False,False,6284,JUNGLE,18016,0,0,0,3021,16548,4067,0,23604,8322,0,11,6,28,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5666423003,12,11431,13,Tristana,2619,891,7,10,4,0,0,0,False,False,False,False,11023,BOTTOM,13334,0,0,1,8533,15281,10862,0,28107,3036,0,3,2,106,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5665224255,12,14996,16,Vayne,3962,3370,4,15,6,0,1,0,False,False,False,False,10621,BOTTOM,0,0,0,1,5083,10948,6319,0,27301,1952,0,10,7,59,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5664388699,12,14302,15,Vayne,6220,2759,4,6,2,0,0,0,False,False,False,False,12006,BOTTOM,0,0,0,1,4736,11531,5923,0,23407,3931,0,8,3,152,True
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5664382144,12,11021,13,Tristana,6483,3565,5,2,6,0,0,0,False,False,False,False,9849,BOTTOM,12954,0,0,1,8433,4930,10803,0,9356,1435,0,7,4,122,True
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5664365022,12,8584,12,Vayne,331,172,2,4,3,0,0,0,False,False,False,False,7057,BOTTOM,0,0,0,1,3615,4480,4414,0,13918,2859,0,5,2,112,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5664204434,12,19152,18,MissFortune,12318,3217,5,9,16,0,1,1,True,False,False,False,14522,BOTTOM,5809,0,0,2,18666,10409,22447,0,25087,2046,0,9,3,182,True
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5663749018,12,10838,13,MissFortune,2656,322,2,4,1,0,0,0,False,False,False,False,8602,BOTTOM,8443,0,0,0,7804,9317,9096,0,17165,1569,0,12,6,155,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5663268184,12,12658,14,Vayne,5209,1984,4,11,8,0,0,0,False,False,True,False,9842,BOTTOM,0,0,0,1,7384,9509,10211,0,20012,2104,0,7,2,105,True
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5663224215,12,14145,15,Vayne,2611,319,6,10,8,0,0,0,False,False,False,False,11492,BOTTOM,0,0,0,1,6303,10609,8596,0,25948,2475,0,8,5,131,False
8,16,False,False,IRON,I,IJRCoGGp0lHjfCabkcTuIcmWYxBmnq9FK5FHG58n2o0kqOncWI6rrG7ppMlvZPzNomUAyBby04UZow,EUW1_5661998809,12,12028,14,Tristana,1417,1059,2,15,6,0,0,0,False,False,False,False,9507,BOTTOM,16538,0,0,0,10459,14775,11939,0,32508,2606,0,4,2,136,False
